Constituency,Const. No.,Leading Candidate,Leading Party,Leading In,Won In,Trailing In,Trailing Candidate,Trailing Party,Leading In.1,Won In.1,Trailing In.1,  Margin,Round,Status,SheetName,STATES,Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes
Achanta,56.0,SATYANARAYANA PITHANI,Telugu Desam,0.0,135.0,0.0,CHERUKUVADA SRI RANGANADHA RAJU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,26554,14/14,Result Declared,Andhra,,,,,,,
Addanki,105.0,GOTTIPATI RAVI KUMAR,Telugu Desam,0.0,135.0,0.0,CHINNA HANIMIREDDY PANEM,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,24890,22/22,Result Declared,Andhra,,,,,,,
Adoni,146.0,DR. PARTHA SARATHI VALMIKI,Bharatiya Janata Party,0.0,8.0,0.0,Y. SAI PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,18164,19/19,Result Declared,Andhra,,,,,,,
Allagadda,134.0,AKHILA PRIYA BHUMA,Telugu Desam,0.0,135.0,0.0,BRIJENDRA REDDY GANGULA (NANI),Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,12037,22/22,Result Declared,Andhra,,,,,,,
Alur,147.0,B. VIRUPAKSHI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,B. VEERABHADRA GOWD,Telugu Desam,0.0,135.0,0.0,2831,21/21,Result Declared,Andhra,,,,,,,
Amadalavalasa,6.0,KOONA RAVI KUMAR,Telugu Desam,0.0,135.0,0.0,THAMMINENI SEETARAM,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,35032,19/19,Result Declared,Andhra,,,,,,,
Amalapuram,44.0,AITHABATHULA ANANDARAO,Telugu Desam,0.0,135.0,0.0,VISWARUPU PINIPE,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,38628,17/17,Result Declared,Andhra,,,,,,,
Anakapalle,30.0,KONATHALA RAMAKRISHNA,Janasena Party,0.0,21.0,0.0,BHARATH KUMAR MALASALA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,65764,19/19,Result Declared,Andhra,,,,,,,
Anantapur Urban,153.0,DAGGUPATI PRASAD,Telugu Desam,0.0,135.0,0.0,ANANTHA VENKATARAMI REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,23023,21/21,Result Declared,Andhra,,,,,,,
Anaparthy,40.0,RAMAKRISHNA REDDY NALLAMILLI,Bharatiya Janata Party,0.0,8.0,0.0,DOCTOR.SATHI SURYANARAYANA REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,20850,17/17,Result Declared,Andhra,,,,,,,
Araku Valley,28.0,REGAM MATYALINGAM,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,RAJARAO PANGI,Bharatiya Janata Party,0.0,8.0,0.0,31877,23/23,Result Declared,Andhra,,,,,,,
Atmakur,115.0,ANAM.RAMANARAYANA REDDY,Telugu Desam,0.0,135.0,0.0,MEKAPATI VIKRAM REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,7576,22/22,Result Declared,Andhra,,,,,,,
Avanigadda,76.0,BUDDHAPRASAD MANDALI,Janasena Party,0.0,21.0,0.0,RAMESH BABU SIMHADRI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,46434,21/21,Result Declared,Andhra,,,,,,,
Badvel,124.0,DASARI SUDHA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,BOJJA ROSHANNA,Bharatiya Janata Party,0.0,8.0,0.0,18567,20/20,Result Declared,Andhra,,,,,,,
Banaganapalle,140.0,B.C. JANARDHAN REDDY,Telugu Desam,0.0,135.0,0.0,KATASANI RAMI REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,25566,24/24,Result Declared,Andhra,,,,,,,
Bapatla,92.0,VEGESANA NARENDRA VARMA RAJU,Telugu Desam,0.0,135.0,0.0,KONA RAGHUPATHI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,27768,15/15,Result Declared,Andhra,,,,,,,
Bhimavaram,59.0,RAMANJANEYULU PULAPARTHI (ANJIBABU),Janasena Party,0.0,21.0,0.0,GRANDHI SRINIVAS,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,66974,17/17,Result Declared,Andhra,,,,,,,
Bhimili,20.0,GANTA SRINIVASA RAO,Telugu Desam,0.0,135.0,0.0,MUTTAMSETTI SRINIVASA RAO (AVANTHI SRINIVAS),Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,92401,26/26,Result Declared,Andhra,,,,,,,
Bobbili,14.0,R.V.S.K.K.RANGA RAO @ BABYNAYANA,Telugu Desam,0.0,135.0,0.0,VENKATA CHINA APPALA NAIDU SAMBANGI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,44648,19/19,Result Declared,Andhra,,,,,,,
Chandragiri,166.0,VENKATA MANI PRASAD PULLIVARTHI,Telugu Desam,0.0,135.0,0.0,CHEVIREDDY MOHITH REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,43852,20/20,Result Declared,Andhra,,,,,,,
Cheepurupalle,15.0,KALAVENKATARAO KIMIDI,Telugu Desam,0.0,135.0,0.0,BOTCHA SATYANARAYANA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/20,Result Declared,Andhra,,,,,,,
Chilakaluripet,96.0,PRATHIPATI PULLARAO,Telugu Desam,0.0,135.0,0.0,KAVATI SIVA NAGA MANOHAR NAIDU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/21,Result Declared,Andhra,,,,,,,
Chintalapudi,68.0,ROSHAN KUMAR SONGA,Telugu Desam,0.0,135.0,0.0,KAMBHAM VIJAYA RAJU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/22,Result Declared,Andhra,,,,,,,
Chirala,106.0,MADDULURI MALA KONDAIAH,Telugu Desam,0.0,135.0,0.0,KARANAM VENKATESH,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/23,Result Declared,Andhra,,,,,,,
Chittoor,172.0,GURAJALA JAGAN MOHAN (GJM),Telugu Desam,0.0,135.0,0.0,M.C. VIJAYANANDA REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/24,Result Declared,Andhra,,,,,,,
Chodavaram,26.0,SURYA NAGA SANYASI RAJU KALIDINDI,Telugu Desam,0.0,135.0,0.0,KARANAM DHARMASRI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/25,Result Declared,Andhra,,,,,,,
Darsi,103.0,BUCHEPALLI SIVA PRASAD REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,GOTTIPATI LAKSHMI,Telugu Desam,0.0,135.0,0.0,11971,20/26,Result Declared,Andhra,,,,,,,
Denduluru,64.0,CHINTAMANENI PRABHAKAR,Telugu Desam,0.0,135.0,0.0,ABBAYA CHOWDARY KOTHARU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/27,Result Declared,Andhra,,,,,,,
Dharmavaram,160.0,SATYA KUMAR YADAV,Bharatiya Janata Party,0.0,8.0,0.0,KETHIREDDY VENKATA RAMI REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/28,Result Declared,Andhra,,,,,,,
Dhone,141.0,KOTLA JAYA SURYA PRAKASH REDDY,Telugu Desam,0.0,135.0,0.0,BUGGANA RAJA REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/29,Result Declared,Andhra,,,,,,,
Eluru,65.0,RADHA KRISHNAYYA BADETI,Telugu Desam,0.0,135.0,0.0,ALLA KALI KRISHNA SRINIVAS,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/30,Result Declared,Andhra,,,,,,,
Etcherla,7.0,ESWARA RAO NADUKUDITI,Bharatiya Janata Party,0.0,8.0,0.0,KIRAN KUMAR GORLE,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/31,Result Declared,Andhra,,,,,,,
Gajapathinagaram,16.0,KONDAPALLI SRINIVAS,Telugu Desam,0.0,135.0,0.0,APPALANARASAYYA BOTCHA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/32,Result Declared,Andhra,,,,,,,
Gajuwaka,25.0,PALLA SRINIVAS RAO,Telugu Desam,0.0,135.0,0.0,AVSS AMARNATH GUDIVADA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/33,Result Declared,Andhra,,,,,,,
Gangadhara Nellore (SC),171.0,DR. VM. THOMAS,Telugu Desam,0.0,135.0,0.0,K. KRUPALAKSHMI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/34,Result Declared,Andhra,,,,,,,
Gannavaram,71.0,YARLAGADDA VENKATA RAO,Telugu Desam,0.0,135.0,0.0,VAMSI VALLABHANENI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/35,Result Declared,Andhra,,,,,,,
Gannavaram(SC),46.0,GIDDI. SATYANARAYANA,Janasena Party,0.0,21.0,0.0,VIPPARTHI . VENUGOPALARAO,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/36,Result Declared,Andhra,,,,,,,
Giddalur,112.0,ASHOK REDDY MUTHUMULA,Telugu Desam,0.0,135.0,0.0,KUNDURU NAGARJUNA REDDY (KP),Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/37,Result Declared,Andhra,,,,,,,
Gopalapuram,66.0,MADDIPATI VENKATA RAJU,Telugu Desam,0.0,135.0,0.0,TANETI VANITA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/38,Result Declared,Andhra,,,,,,,
Gudivada,72.0,VENIGANDLA RAMU,Telugu Desam,0.0,135.0,0.0,KODALI SRI VENKATESWARA RAO (NANI),Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11971,20/39,Result Declared,Andhra,,,,,,,
Gudur,120.0,PASIM SUNIL KUMAR,Telugu Desam,0.0,135.0,0.0,MERIGA MURALIDHAR,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,21192,21/21,Result Declared,Andhra,,,,,,,
Guntakal,150.0,GUMMANUR JAYARAM,Telugu Desam,0.0,135.0,0.0,Y. VENKATA RAMA REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,6826,20/20,Result Declared,Andhra,,,,,,,
Guntur East,95.0,MOHAMMED NASEER AHMED,Telugu Desam,0.0,135.0,0.0,NOORI FATHIMA SHAIK,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,31962,19/19,Result Declared,Andhra,,,,,,,
Guntur West,94.0,GALLA MADHAVI,Telugu Desam,0.0,135.0,0.0,RAJINI VIDADALA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,51150,21/21,Result Declared,Andhra,,,,,,,
Gurajala,100.0,YARAPATHINENI SRINIVASA RAO,Telugu Desam,0.0,135.0,0.0,KASU MAHESH REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,29486,23/23,Result Declared,Andhra,,,,,,,
Hindupur,157.0,NANDAMURI BALAKRISHNA,Telugu Desam,0.0,135.0,0.0,DEEPIKA T N,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,32597,19/19,Result Declared,Andhra,,,,,,,
Ichchapuram,1.0,ASHOK BENDALAM,Telugu Desam,0.0,135.0,0.0,PIRIYA VIJAYA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,39783,22/22,Result Declared,Andhra,,,,,,,
Jaggampeta,52.0,JYOTHULA NEHRU,Telugu Desam,0.0,135.0,0.0,THOTA NARASIMHAM,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,52676,18/18,Result Declared,Andhra,,,,,,,
Jaggayyapeta,84.0,RAJAGOPAL SREERAM (TATAIAH),Telugu Desam,0.0,135.0,0.0,UDAYA BHANU SAMINENI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,15977,16/16,Result Declared,Andhra,,,,,,,
Jammalamadugu,131.0,ADINARAYANA REDDY CHADIPIRALA,Bharatiya Janata Party,0.0,8.0,0.0,MULE SUDHEER REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,17191,23/23,Result Declared,Andhra,,,,,,,
Kadapa,126.0,MADHAVI REDDAPPA GARI,Telugu Desam,0.0,135.0,0.0,AMZATH BASHA SHAIK BEPARI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,18860,21/21,Result Declared,Andhra,,,,,,,
Kadiri,161.0,KANDIKUNTA VENKATA PRASAD,Telugu Desam,0.0,135.0,0.0,MAQBOOL B.S.,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,6265,21/21,Result Declared,Andhra,,,,,,,
Kaikalur,73.0,KAMINENI SRINIVAS,Bharatiya Janata Party,0.0,8.0,0.0,DULAM NAGESWARA RAO,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,45273,17/17,Result Declared,Andhra,,,,,,,
Kakinada City,41.0,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu Desam,0.0,135.0,0.0,DWARAMPUDI CHANDRASEKHARA REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,56572,17/17,Result Declared,Andhra,,,,,,,
Kakinada Rural,38.0,PANTAM VENKATESWARA RAO (PANTAM NANAJI),Janasena Party,0.0,21.0,0.0,KURASALA KANNA BABU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,72040,20/20,Result Declared,Andhra,,,,,,,
Kalyandurg,154.0,AMILINENI SURENDRA BABU,Telugu Desam,0.0,135.0,0.0,TALARI RANGAIAH,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,37734,19/19,Result Declared,Andhra,,,,,,,
Kamalapuram,130.0,KRISHNA CHAITANYA REDDY PUTHA,Telugu Desam,0.0,135.0,0.0,POCHIMAREDDY RAVINDRANATH REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,25357,18/18,Result Declared,Andhra,,,,,,,
Kandukur,109.0,INTURI NAGESWARA RAO,Telugu Desam,0.0,135.0,0.0,MADHU SUDHANRAO BURRA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,18558,20/20,Result Declared,Andhra,,,,,,,
Kanigiri,113.0,DR. UGRA NARASIMHA REDDY MUKKU,Telugu Desam,0.0,135.0,0.0,DADDALA NARAYANA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,14604,22/22,Result Declared,Andhra,,,,,,,
Kavali,114.0,DAGUMATI VENKATA KRISHNA REDDY,Telugu Desam,0.0,135.0,0.0,RAMIREDDY PRATAP KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,30948,24/24,Result Declared,Andhra,,,,,,,
Kodumur (SC),143.0,BOGGULA DASTAGIRI,Telugu Desam,0.0,135.0,0.0,AUDIMULAPU SATHISH,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,21583,20/20,Result Declared,Andhra,,,,,,,
Kodur (SC),127.0,ARAVA SREEDHAR,Janasena Party,0.0,21.0,0.0,KORAMUTLA SREENIVASULU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,11101,18/18,Result Declared,Andhra,,,,,,,
Kondapi (SC),110.0,DOCTOR DOLA SREE BALA VEERANJANEYA SWAMY,Telugu Desam,0.0,135.0,0.0,AUDIMULAPU SURESH,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,24756,21/21,Result Declared,Andhra,,,,,,,
Kothapeta,47.0,BANDARU SATYANANDA RAO,Telugu Desam,0.0,135.0,0.0,CHIRLA JAGGIREDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,56479,19/19,Result Declared,Andhra,,,,,,,
Kovur,116.0,PRASHANTHI REDDY VEMIREDDY,Telugu Desam,0.0,135.0,0.0,NALLAPAREDDY PRASANNA KUMAR REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,54583,25/25,Result Declared,Andhra,,,,,,,
Kovvur,54.0,MUPPIDI VENKATESWARA RAO,Telugu Desam,0.0,135.0,0.0,TALARI VENKATA RAO,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,33946,13/13,Result Declared,Andhra,,,,,,,
Kuppam,175.0,CHANDRABABU NAIDU NARA,Telugu Desam,0.0,135.0,0.0,K.R.J. BHARATH,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,48006,18/18,Result Declared,Andhra,,,,,,,
Kurnool,137.0,T.G.BHARATH,Telugu Desam,0.0,135.0,0.0,"A. MD. IMTIAZ I.A.S., (RETD)",Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,18876,19/19,Result Declared,Andhra,,,,,,,
Kurupam,11.0,JAGADEESWARI THOYAKA,Telugu Desam,0.0,135.0,0.0,PAMULA PUSHPA SREEVANI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,23500,20/20,Result Declared,Andhra,,,,,,,
Macherla,101.0,JULAKANTI BRAHMANANDA REDDY,Telugu Desam,0.0,135.0,0.0,RAMAKRISHNAREDDY. PINNELLI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,33318,24/24,Result Declared,Andhra,,,,,,,
Machilipatnam,75.0,KOLLU. RAVINDRA,Telugu Desam,0.0,135.0,0.0,PERNI KRISHNAMURTHY (KITTU),Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,50242,15/15,Result Declared,Andhra,,,,,,,
Madakasira (SC),156.0,M.S.RAJU,Telugu Desam,0.0,135.0,0.0,IRALAKKAPPA.S.L,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,351,18/18,Result Declared,Andhra,,,,,,,
Madanapalle,164.0,M.SHAJAHAN BASHA,Telugu Desam,0.0,135.0,0.0,S.NISAR AHAMAD,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,5509,19/19,Result Declared,Andhra,,,,,,,
Madugula,27.0,BANDARU SATYANARAYANA MURTHY,Telugu Desam,0.0,135.0,0.0,ANURADHA ERLI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,28026,17/17,Result Declared,Andhra,,,,,,,
Mandapeta,48.0,JOGESWARA RAO.V,Telugu Desam,0.0,135.0,0.0,THOTA TRIMURTHULU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,44435,23/23,Result Declared,Andhra,,,,,,,
Mangalagiri,87.0,NARA LOKESH,Telugu Desam,0.0,135.0,0.0,MURUGUDU LAVANYA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,91413,22/22,Result Declared,Andhra,,,,,,,
Mantralayam,145.0,Y. BALANAGI REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,N. RAGHAVENDRA REDDY,Telugu Desam,0.0,135.0,0.0,12805,17/17,Result Declared,Andhra,,,,,,,
Markapuram,111.0,KANDULA NARAYANA REDDY,Telugu Desam,0.0,135.0,0.0,ANNA RAMBABU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,13979,19/19,Result Declared,Andhra,,,,,,,
Mummidivaram,43.0,DATLA SUBBARAJU (BUCHIBABU),Telugu Desam,0.0,135.0,0.0,PONNADA VENKATA SATISH KUMAR,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,38736,20/20,Result Declared,Andhra,,,,,,,
Mydukur,133.0,SUDHAKAR PUTTA,Telugu Desam,0.0,135.0,0.0,RAGHURAMI REDDY SETTIPALLY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,20950,21/21,Result Declared,Andhra,,,,,,,
Mylavaram,82.0,VASANTHA VENKATA KRISHNA PRASAD,Telugu Desam,0.0,135.0,0.0,TIRAPATHIRAO SARNALA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,42829,22/22,Result Declared,Andhra,,,,,,,
Nagari,170.0,GALI BHANU PRAKASH,Telugu Desam,0.0,135.0,0.0,R.K. ROJA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,45004,18/18,Result Declared,Andhra,,,,,,,
Nandigama (SC),83.0,TANGIRALA SOWMYA,Telugu Desam,0.0,135.0,0.0,MONDITOKA JAGAN MOHAN RAO,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,27395,17/17,Result Declared,Andhra,,,,,,,
Nandikotkur (SC),136.0,G JAYASURYA,Telugu Desam,0.0,135.0,0.0,DARA SUDHEER,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,9792,27/27,Result Declared,Andhra,,,,,,,
Nandyal,139.0,NASYAM MOHAMMED FAROOK,Telugu Desam,0.0,135.0,0.0,SILPA RAVI CHANDRA KISHORE REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,12333,21/21,Result Declared,Andhra,,,,,,,
Narasannapeta,8.0,BAGGU RAMANAMURTHY,Telugu Desam,0.0,135.0,0.0,KRISHNADAS DHARMANA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,29371,21/21,Result Declared,Andhra,,,,,,,
Narasapuram,58.0,BOMMIDI NARAYANA NAYAKAR,Janasena Party,0.0,21.0,0.0,NAGARAJA VARA PRASADA RAJU MUDUNURI,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,49738,13/13,Result Declared,Andhra,,,,,,,
Narasaraopet,97.0,ARAVINDA BABU CHADALAVADA,Telugu Desam,0.0,135.0,0.0,GOPIREDDY SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,19705,18/18,Result Declared,Andhra,,,,,,,
Narsipatnam,34.0,AYYANNAPATRUDU CHINTAKAYALA,Telugu Desam,0.0,135.0,0.0,UMA SANKARA GANESH PETLA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,24676,19/19,Result Declared,Andhra,,,,,,,
Nellimarla,17.0,LOKAM NAGA MADHAVI,Janasena Party,0.0,21.0,0.0,APPALANAIDU BADDUKONDA,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,39829,18/18,Result Declared,Andhra,,,,,,,
Nellore City,117.0,NARAYANA PONGURU,Telugu Desam,0.0,135.0,0.0,KHALEEL AHAMAD MD,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,72489,18/18,Result Declared,Andhra,,,,,,,
Nellore Rural,118.0,KOTAMREDDY SRIDHAR REDDY,Telugu Desam,0.0,135.0,0.0,ADALA PRABHAKARA REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,34480,24/24,Result Declared,Andhra,,,,,,,
Nidadavole,55.0,KANDULA DURGESH,Janasena Party,0.0,21.0,0.0,G.SRINIVAS NAIDU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,33304,16/16,Result Declared,Andhra,,,,,,,
Nuzvid,70.0,KOLUSU PARTHA SARATHY,Telugu Desam,0.0,135.0,0.0,MEKA VENKATA PRATAP APPARAO,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,12378,21/21,Result Declared,Andhra,,,,,,,
Ongole,108.0,DAMACHARLA JANARDHANA RAO,Telugu Desam,0.0,135.0,0.0,BALINENI SRINIVASA REDDY,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,34026,19/19,Result Declared,Andhra,,,,,,,
Paderu,29.0,MATSYARASA VISWESWARA RAJU,Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,ESWARI GIDDI,Telugu Desam,0.0,135.0,0.0,19338,23/23,Result Declared,Andhra,,,,,,,
Palacole,57.0,DR.NIMMALA RAMANAIDU,Telugu Desam,0.0,135.0,0.0,GUDALA SRI HARI GOPALA RAO (GUDALA GOPI),Yuvajana Sramika Rythu Congress Party,0.0,11.0,0.0,67945,14/14,Result Declared,Andhra,,,,,,,
